partner_name,advertiser_id,status,category,commission_min,commission_max,lead_min,lead_max,epc,conversion_rate,approval_rate,payment_status,average_payment_time,fit_score,risk_level,priority,recommended_tarvyo24_page,recommendation,reason
fraenk DE,20041,green,Mobile Contract,0,0,0,0,0.06,1.85548,91.28,green,66,1.0,gering,A,kategorien/handyvertrag,sofort bewerben (Prioritätsmarke),vom Betreiber priorisierte Marke; Thema mobilfunk; EPC 0.06; Bestätigung 91.28%
aboalarm DE,14312,amber,Savings & Investments,0,0,0.8,0.8,0.02,2.92027,100.00,amber,57,1.0,gering,A,gewerbe-tools / künftig Vertragsverwaltung,sofort bewerben (Prioritätsmarke),vom Betreiber priorisierte Marke; Thema vertrag; EPC 0.02; Bestätigung 100%; Lead bis 0.8€
Ostrom DE,28121,amber,Utilities,0,0,0,0,0.19,2.75499,100.00,amber,93,1.0,gering,A,kategorien/strom-gas,sofort bewerben (Prioritätsmarke),vom Betreiber priorisierte Marke; Thema energie; EPC 0.19; Bestätigung 100%
congstar DE,11938,amber,Network Operators,0,0,0,0,0.94,2.74173,63.32,amber,89,1.0,gering,A,kategorien/handyvertrag,sofort bewerben (Prioritätsmarke),vom Betreiber priorisierte Marke; Thema internet; EPC 0.94; Bestätigung 63.32%
CHECK24 Partnerprogramm,9364,amber,Utilities,5.5,5.5,16.5,55,0.07,0.760217,72.38,amber,122,1.0,mittel,A,kategorienübergreifend (nur unkritische Bereiche),sofort bewerben (Prioritätsmarke); nur unkritische Produktbereiche bewerben,vom Betreiber priorisierte Marke; Thema vergleich; EPC 0.07; Bestätigung 72.38%; Provision bis 5.5%; Lead bis 55€
Klarmobil,11933,amber,Mobile Contract,1,10,0,40,0.17,0.707886,66.84,amber,91,1.0,gering,A,kategorien/handyvertrag,sofort bewerben (Prioritätsmarke),vom Betreiber priorisierte Marke; EPC 0.17; Bestätigung 66.84%; Provision bis 10%; Lead bis 40€
Yello,11433,green,Utilities,0,0,0,28,0.09,0.176571,64.75,green,103,1.0,gering,A,kategorien/strom-gas,sofort bewerben (Prioritätsmarke),vom Betreiber priorisierte Marke; Thema energie; EPC 0.09; Bestätigung 64.75%; Lead bis 28€
Badenova DE,19313,green,Utilities,0,0,0,40,0.05,0.576472,32.00,green,53,1.0,gering,A,kategorien/strom-gas,sofort bewerben (Prioritätsmarke),vom Betreiber priorisierte Marke; Thema energie; EPC 0.05; Bestätigung 32%; Lead bis 40€
1&1 Telecommunication Partnerprogramm DE,12554,amber,Network Operators,0,0,0,80,0.01,0.0256901,40.49,amber,109,1.0,gering,A,kategorien/internet-dsl + handyvertrag,sofort bewerben (Prioritätsmarke),vom Betreiber priorisierte Marke; Thema internet; EPC 0.01; Bestätigung 40.49%; Lead bis 80€
Vodafone DE,11331,green,Internet Service Provider,0,0,0,0,0.00,4.67432,36.57,green,153,1.0,gering,A,kategorien/handyvertrag + internet-dsl,sofort bewerben (Prioritätsmarke),vom Betreiber priorisierte Marke; Thema internet; Bestätigung 36.57%
easyname DE,12649,green,Web Hosting,0,75,0,50,2.91,18.0066,91.30,green,33,0.59,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema software; EPC 2.91; Bestätigung 91.3%; Provision bis 75%; Lead bis 50€
rapidmail DE,14529,amber,Business Services (B2B),0,25,0,0,55.05,58.9976,100.00,amber,66,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 55.05; Bestätigung 100%; Provision bis 25%
checkdomain DE,11851,green,Web Hosting,40,40,0,0,1.32,12.807,85.37,green,39,0.59,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema software; EPC 1.32; Bestätigung 85.37%; Provision bis 40%
Accountable DE,124056,amber,Personal Banking,0,0,0,0,3.17,15.3734,100.00,amber,44,0.85,gering,B,kategorien/buchhaltungssoftware,"bewerben, wenn thematisch passend",Thema buchhaltung; EPC 3.17; Bestätigung 100%
Dogado DE,16943,green,Web Hosting,40,40,10,10,0.70,8.59398,75.08,green,40,0.59,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema software; EPC 0.7; Bestätigung 75.08%; Provision bis 40%; Lead bis 10€
Schreibtisch.com DE,101313,amber,Furniture & Soft Furnishings,0,0,0,0,5.85,16.6667,100.00,amber,null,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 5.85; Bestätigung 100%
Sage DE,11752,green,Business Services (B2B),35,35,1,10,0.10,3.43484,100.00,green,96,0.85,gering,B,kategorien/buchhaltungssoftware,"bewerben, wenn thematisch passend",Thema buchhaltung; EPC 0.1; Bestätigung 100%; Provision bis 35%; Lead bis 10€
Techem DE,58843,green,Lead Gen,0,0,0,0,5.48,6.25,83.33,green,88,0.85,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 5.48; Bestätigung 83.33%
tink DE,13686,amber,Electronic Superstore,5,6,0,0,6.09,3.81794,98.03,amber,62,0.85,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 6.09; Bestätigung 98.03%; Provision bis 6%
webtropia.com DE,14393,green,Web Hosting,50,50,0,0,0.26,9.45961,65.38,green,58,0.59,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema software; EPC 0.26; Bestätigung 65.38%; Provision bis 50%
Sparstrom DE,13751,green,Utilities,0,0,30,30,2.12,2.26346,100.00,green,60,0.85,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 2.12; Bestätigung 100%; Lead bis 30€
Büroshop24 DE,14947,amber,Office Supplies,5,5,0,0,1.04,10.416,91.15,amber,59,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 1.04; Bestätigung 91.15%; Provision bis 5%
office discount DE,13636,amber,Office Supplies,5,5,0,0,1.00,9.90489,92.02,amber,75,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 1; Bestätigung 92.02%; Provision bis 5%
Zap-hosting DE,13841,green,Web Hosting,20,50,0,0,0.11,2.38352,95.45,green,41,0.7,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema software; EPC 0.11; Bestätigung 95.45%; Provision bis 50%
MUCA,119461,amber,Health & Beauty,0,0,0,0,1.12,60.0421,100.00,amber,null,0.85,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 1.12; Bestätigung 100%
smartsteuer DE,15043,amber,Savings & Investments,0,0,12,12,0.31,8.39972,98.72,amber,25,0.85,gering,B,kategorien/buchhaltungssoftware,"bewerben, wenn thematisch passend",Thema buchhaltung; EPC 0.31; Bestätigung 98.72%; Lead bis 12€
Printus DE,13904,amber,Office Supplies,5,5,0,0,1.00,6.69463,97.35,amber,62,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 1; Bestätigung 97.35%; Provision bis 5%
MAGIX Creative Software DACH,11395,green,Software Downloads,15,30,5,5,0.09,1.426,99.68,green,68,0.7,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema software; EPC 0.09; Bestätigung 99.68%; Provision bis 30%; Lead bis 5€
Targus DE,56527,amber,Electronic Accessories,0,0,0,0,0.61,9.4697,100.00,amber,36,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.61; Bestätigung 100%
LEDs24 DE,84969,green,Home & Garden,0,0,0,0,0.47,5.8818,99.17,green,32,0.85,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 0.47; Bestätigung 99.17%
Tailor Brands,19657,green,Business Services (B2B),30,30,0,0,25.00,11.9048,100.00,green,155,0.59,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema software; EPC 25; Bestätigung 100%; Provision bis 30%; Region US
Panion DE,61651,amber,Health & Beauty,0,0,0,0,1.47,5.09417,84.85,amber,29,0.85,gering,B,kategorien/handyvertrag,"bewerben, wenn thematisch passend",Thema mobilfunk; EPC 1.47; Bestätigung 84.85%
Joom DACH,48433,amber,Clothing,0,0,0,0,0.84,9.22113,96.09,amber,46,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.84; Bestätigung 96.09%
BILDconnect DE,12694,amber,Mobile Pay As You Go,0,0,4,30,1.06,3.45457,100.00,amber,71,0.85,gering,B,kategorien/handyvertrag,"bewerben, wenn thematisch passend",Thema mobilfunk; EPC 1.06; Bestätigung 100%; Lead bis 30€
Verpackungsteam DE,68872,amber,Office Supplies,0,0,0,0,0.61,8.5878,100.00,amber,60,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.61; Bestätigung 100%
OutIn,36144,green,Home & Garden,0,0,0,0,3.05,8.59505,83.60,green,67,0.85,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 3.05; Bestätigung 83.6%; Region US
Indevolt DE,110350,amber,Green (Eco friendly),0,0,0,0,1.52,3.39925,100.00,amber,71,0.85,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 1.52; Bestätigung 100%
Solakon DE,62623,green,Home & Garden,0,0,0,0,1.51,4.13929,100.00,green,66,0.68,gering,B,neue Zielseite nötig (Solar/PV/Wallbox),"bewerben, wenn thematisch passend",Thema solar; EPC 1.51; Bestätigung 100%
Bitdefender DE,11660,green,Software Downloads,30,30,0,0,0.20,1.15134,90.98,green,56,0.59,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema software; EPC 0.2; Bestätigung 90.98%; Provision bis 30%
Tintenmarkt DE,13963,green,Office Supplies,5,5,0,0,0.11,1.92479,98.44,green,57,0.9,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.11; Bestätigung 98.44%; Provision bis 5%
ESET DACH,15751,amber,Software Downloads,15,15,0,0,0.42,2.35048,99.89,amber,38,0.59,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema software; EPC 0.42; Bestätigung 99.89%; Provision bis 15%
ALLDREI DE,28945,green,Home & Garden,0,0,0,0,0.85,4.49325,100.00,green,41,0.68,gering,B,neue Zielseite nötig (Solar/PV/Wallbox),"bewerben, wenn thematisch passend",Thema solar; EPC 0.85; Bestätigung 100%
Druckerpatronen DE,13832,green,Office Supplies,8,8,0,0,0.04,0.698605,86.27,green,37,0.9,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.04; Bestätigung 86.27%; Provision bis 8%
TimeRide DE,83169,amber,Tourism & Attractions,0,0,0,0,0.21,7.72353,100.00,amber,32,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.21; Bestätigung 100%
NaturStrom DE,11937,green,Utilities,0,0,35,35,0.22,0.624513,82.35,green,22,0.85,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 0.22; Bestätigung 82.35%; Lead bis 35€
3ppp3 DE,11410,green,Electronic Accessories,5,5,0,0,0.02,3.53563,100.00,green,62,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.02; Bestätigung 100%; Provision bis 5%
Babbel DE,14010,green,"Education, Training & Recruitment",0,0,10,10,1.30,2.60787,68.83,green,35,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 1.3; Bestätigung 68.83%; Lead bis 10€
Lizensio DE,19110,amber,Software Downloads,12,12,0,0,0.15,7.10896,72.89,amber,64,0.59,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema software; EPC 0.15; Bestätigung 72.89%; Provision bis 12%
Autobatterienbilliger DE,17927,green,Automotive,5,10,0,0,0.13,1.71351,100.00,green,90,0.85,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 0.13; Bestätigung 100%; Provision bis 10%
Office-partner DE,14611,amber,Computers,2,20,0,0,0.76,3.87778,59.09,amber,67,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.76; Bestätigung 59.09%; Provision bis 20%
Stadtwerke Münster DE,123006,amber,Utilities,0,0,0,0,0.02,4.25516,100.00,amber,42,1.0,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 0.02; Bestätigung 100%
medimops DE (Verkauf/outbound),11364,green,Entertainment Superstore,5,10,0,0,0.03,3.26421,94.88,green,80,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.03; Bestätigung 94.88%; Provision bis 10%
Tecedo DE,11333,amber,Electronic Superstore,2,2,0,0,0.44,7.12855,83.37,amber,74,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.44; Bestätigung 83.37%; Provision bis 2%
buerostuhl24 Bürostühle und Büromöbel DE,11702,green,Office Supplies,8,8,0,0,0.18,1.50725,83.56,green,78,0.9,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.18; Bestätigung 83.56%; Provision bis 8%
eSIMony,106541,amber,Mobile Pay As You Go,0,0,0,0,0.11,5.20569,92.86,amber,56,1.0,gering,B,kategorien/handyvertrag,"bewerben, wenn thematisch passend",Thema mobilfunk; EPC 0.11; Bestätigung 92.86%
SolarSale24 DE,112368,green,Home & Garden,0,0,0,0,0.57,6.25,69.01,green,61,0.8,gering,B,neue Zielseite nötig (Solar/PV/Wallbox),"bewerben, wenn thematisch passend",Thema solar; EPC 0.57; Bestätigung 69.01%
PremiumSIM DE,15013,green,Mobile Contract,0,0,0,30,1.90,12.6908,3.04,green,98,0.85,gering,B,kategorien/handyvertrag,"bewerben, wenn thematisch passend",Thema mobilfunk; EPC 1.9; Bestätigung 3.04%; Lead bis 30€
True Image DE,106897,amber,Photos & Print Services,0,0,0,0,0.44,6.74718,100.00,amber,61,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.44; Bestätigung 100%
averdo DE,11531,green,Books & Subscriptions,12,12,0,0,0.04,1.00708,95.00,green,80,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.04; Bestätigung 95%; Provision bis 12%
NordVPN DE,9399,amber,B2B Utility Services,40,40,0,0,0.45,2.23359,88.80,amber,89,0.59,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema software; EPC 0.45; Bestätigung 88.8%; Provision bis 40%
DRBO Greenenergy (DE),124402,amber,Green (Eco friendly),0,0,0,0,1.04,4.79809,85.25,amber,null,0.85,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 1.04; Bestätigung 85.25%
Tchibo DE,11792,green,Department Stores,5,8,0.4,10,0.14,1.53495,80.11,green,61,0.85,gering,B,kategorien/handyvertrag,"bewerben, wenn thematisch passend",Thema mobilfunk; EPC 0.14; Bestätigung 80.11%; Provision bis 8%; Lead bis 10€
Tonermacher DE,14377,amber,Office Supplies,5,15,0.5,0.5,0.14,3.95269,45.93,amber,47,0.9,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.14; Bestätigung 45.93%; Provision bis 15%; Lead bis 0.5€
VIVE DE,30109,amber,PC & Video Games,0,0,0,0,0.29,10.8333,100.00,amber,147,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.29; Bestätigung 100%
name.eu DE,112904,amber,Web Hosting,0,0,0,0,3.50,16.6667,33.33,amber,null,0.59,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema software; EPC 3.5; Bestätigung 33.33%
reichelt elektronik DE,14954,green,Electronic Superstore,5,5,0,0,0.22,2.76974,59.51,green,50,0.9,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.22; Bestätigung 59.51%; Provision bis 5%
Eco-Worthy DE,86265,amber,Electronic Accessories,0,0,0,0,1.20,8.13307,88.32,amber,119,0.68,gering,B,neue Zielseite nötig (Solar/PV/Wallbox),"bewerben, wenn thematisch passend",Thema solar; EPC 1.2; Bestätigung 88.32%
bücher.de DE,14584,amber,Books & Subscriptions,8,8,0,0,0.06,3.32906,93.12,amber,100,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.06; Bestätigung 93.12%; Provision bis 8%
reBuy DE/AT,14000,amber,Electronic Superstore,4,4,0,0,0.26,4.23222,87.53,amber,75,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.26; Bestätigung 87.53%; Provision bis 4%
Markt+Technik DE,106715,amber,Software Downloads,0,0,0,0,0.27,9.98965,99.12,amber,58,0.59,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema software; EPC 0.27; Bestätigung 99.12%
senercon Energieausweis DE,80617,amber,Home & Garden,0,0,0,0,0.14,2.94755,100.00,amber,46,1.0,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 0.14; Bestätigung 100%
Shelly DE,121792,amber,Home & Garden,0,0,0,0,0.32,5.42136,98.45,amber,96,0.85,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 0.32; Bestätigung 98.45%
Honor DE,28525,amber,Electronic Accessories,0,0,0,0,0.37,10.2569,84.65,amber,146,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.37; Bestätigung 84.65%
entega DE,11877,amber,Utilities,0,0,7,33,0.16,1.67325,99.69,amber,67,0.85,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 0.16; Bestätigung 99.69%; Lead bis 33€
Pc Componentes DE,120571,amber,Electronic Superstore,0,0,0,0,0.53,4.36198,89.29,amber,89,0.9,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.53; Bestätigung 89.29%
ergofino DE,64068,amber,Home & Garden,0,0,0,0,0.79,4.83654,88.89,amber,44,0.68,gering,B,neue Zielseite nötig (Solar/PV/Wallbox),"bewerben, wenn thematisch passend",Thema solar; EPC 0.79; Bestätigung 88.89%
Gambio DE,17288,green,Software Downloads,0,0,38.5,75,0.39,0.563868,100.00,green,83,0.59,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema software; EPC 0.39; Bestätigung 100%; Lead bis 75€
TECKNET DE,84079,amber,Office Supplies,0,0,0,0,0.12,6.20287,100.00,amber,69,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.12; Bestätigung 100%
Pinguin Druck DE,73377,amber,Photos & Print Services,0,0,0,0,0.72,10.0609,34.49,amber,34,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.72; Bestätigung 34.49%
FINOM DE,23144,green,Savings & Investments,0,0,0,0,0.79,1.31579,100.00,green,null,0.85,gering,B,kategorien/buchhaltungssoftware,"bewerben, wenn thematisch passend",Thema buchhaltung; EPC 0.79; Bestätigung 100%
AKKO DE,60241,amber,PC & Video Games,0,0,0,0,0.28,5.2023,100.00,amber,66,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.28; Bestätigung 100%
phase-6 DE,11682,amber,"Education, Training & Recruitment",10,10,0,0,0.15,2.91342,100.00,amber,66,0.59,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema software; EPC 0.15; Bestätigung 100%; Provision bis 10%
Moo DE,9298,amber,Photos & Print Services,0,6,2,6,0.16,6.55257,65.60,amber,59,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.16; Bestätigung 65.6%; Provision bis 6%; Lead bis 6€
ESM Computer DE,117833,amber,Electronic Superstore,0,0,0,0,0.49,4.1959,87.24,amber,102,0.9,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.49; Bestätigung 87.24%
Franzis DE,14730,green,Utilities,10,10,0,0,0.05,2.94594,74.53,green,74,0.59,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema software; EPC 0.05; Bestätigung 74.53%; Provision bis 10%
Akku.net DE,22871,green,Electronic Accessories,0,0,0,0,0.15,4.01953,90.59,green,71,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.15; Bestätigung 90.59%
fastbill DE,20766,green,Personal Banking,0,0,0,0,0.05,1.94962,94.02,green,26,0.85,gering,B,kategorien/buchhaltungssoftware,"bewerben, wenn thematisch passend",Thema buchhaltung; EPC 0.05; Bestätigung 94.02%
Mainova DE,9308,green,Utilities,0,0,7,50,0.55,1.4984,45.63,green,65,0.85,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 0.55; Bestätigung 45.63%; Lead bis 50€
mcbuero DE,13711,amber,Office Supplies,2,6,0,0,0.12,4.97705,82.54,amber,83,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.12; Bestätigung 82.54%; Provision bis 6%
Tombow DE,52857,amber,Office Supplies,0,0,0,0,0.03,5.65173,100.00,amber,54,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.03; Bestätigung 100%
LichtBlick DE,19047,amber,Utilities,0,0,40,40,0.17,2.73047,71.81,amber,179,0.85,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 0.17; Bestätigung 71.81%; Lead bis 40€
InnoNature DE,114720,amber,Health & Beauty,0,0,0,0,0.27,5.49259,62.02,amber,35,0.85,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 0.27; Bestätigung 62.02%
HQ-Patronen DE,11898,amber,Office Supplies,0,1,0,0,0.10,5.24602,96.00,amber,57,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.1; Bestätigung 96%; Provision bis 1%
druckerpatronenexpress DE,26955,green,Electronic Accessories,0,0,0,0,0.11,2.58643,97.83,green,79,0.9,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.11; Bestätigung 97.83%
Arlo Security DE,34689,green,Electronic Accessories,0,0,0,0,0.51,2.64994,86.11,green,56,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.51; Bestätigung 86.11%
Zendure EU Marketing,68786,green,Green (Eco friendly),0,0,0,0,4.01,3.00517,86.52,green,68,0.85,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 4.01; Bestätigung 86.52%; Region US
EnBW DE,15335,green,Utilities,0,0,30,30,0.31,1.13187,62.75,green,93,0.85,gering,B,kategorien/strom-gas,"bewerben, wenn thematisch passend",Thema energie; EPC 0.31; Bestätigung 62.75%; Lead bis 30€
Conrad Electronic DE,11354,amber,Electronic Superstore,5,5,0,0,0.20,3.54976,85.62,amber,91,0.77,gering,B,kategorien/gewerbe-tools,"bewerben, wenn thematisch passend",Thema it_buero; EPC 0.2; Bestätigung 85.62%; Provision bis 5%
